===============2019/8/28 13:51:27===============
DMT02----Info----01:52:12--DesktopImg----2019/8/28 13:52:12
DMT02----Info----01:52:12--DesktopImg----2019/8/28 13:52:12
DMT02----Info----01:52:12--DesktopImg----2019/8/28 13:52:12
DMT02----Info----01:52:12--DesktopImg----2019/8/28 13:52:12
DMT02----Info----01:52:12--DesktopImg----2019/8/28 13:52:12
DMT02----Info----01:52:12--DesktopImg----2019/8/28 13:52:12
DMT02----Info----01:52:12--DesktopImg----2019/8/28 13:52:12
DMT02----Info----01:52:12--DesktopImg----2019/8/28 13:52:13
DMT02----Info----01:52:13--DesktopImg----2019/8/28 13:52:13
DMT02----Info----01:52:13--DesktopImg----2019/8/28 13:52:13
DMT02----Info----01:52:13--DesktopImg----2019/8/28 13:52:13
DMT02----Info----01:52:13--DesktopImg----2019/8/28 13:52:13
DMT02----Info----01:52:13--DesktopImg----2019/8/28 13:52:13
DMT02----Info----01:52:13--DesktopImg----2019/8/28 13:52:13
DMT02----Info----01:52:13--DesktopImg----2019/8/28 13:52:13
DMT02----Info----01:52:13--DesktopImg----2019/8/28 13:52:13
DMT02----Info----01:52:13--DesktopImg----2019/8/28 13:52:13
DMT02----Info----01:52:14--DesktopImg----2019/8/28 13:52:14
DMT02----Info----01:52:14--DesktopImg----2019/8/28 13:52:14
DMT02----Info----01:52:14--DesktopImg----2019/8/28 13:52:14
DMT02----Info----01:52:14--DesktopImg----2019/8/28 13:52:14
DMT02----Info----01:52:14--DesktopImg----2019/8/28 13:52:14
DMT02----Info----01:52:14--DesktopImg----2019/8/28 13:52:14
DMT02----Info----01:52:14--DesktopImg----2019/8/28 13:52:14
DMT02----Info----01:52:14--DesktopImg----2019/8/28 13:52:14
DMT02----Info----01:52:14--DesktopImg----2019/8/28 13:52:14
DMT02----Info----01:52:14--DesktopImg----2019/8/28 13:52:14
DMT02----Info----01:52:15--DesktopImg----2019/8/28 13:52:15
DMT02----Info----01:52:15--DesktopImg----2019/8/28 13:52:15
DMT02----Info----01:52:15--DesktopImg----2019/8/28 13:52:15
DMT02----Info----01:52:15--DesktopImg----2019/8/28 13:52:15
DMT02----Info----01:52:15--DesktopImg----2019/8/28 13:52:15
DMT02----Info----01:52:15--DesktopImg----2019/8/28 13:52:15
DMT02----Info----01:52:15--DesktopImg----2019/8/28 13:52:15
DMT02----Info----01:52:15--DesktopImg----2019/8/28 13:52:15
DMT02----Info----01:52:15--DesktopImg----2019/8/28 13:52:15
DMT02----Info----01:52:15--DesktopImg----2019/8/28 13:52:15
DMT02----Info----01:52:15--DesktopImg----2019/8/28 13:52:16
DMT02----Info----01:52:16--DesktopImg----2019/8/28 13:52:16
DMT02----Info----01:52:16--DesktopImg----2019/8/28 13:52:16
DMT02----Info----01:52:16--DesktopImg----2019/8/28 13:52:16
DMT02----Info----01:52:16--DesktopImg----2019/8/28 13:52:16
DMT02----Info----01:52:16--DesktopImg----2019/8/28 13:52:16
DMT02----Info----01:52:16--DesktopImg----2019/8/28 13:52:16
DMT02----Info----01:52:16--DesktopImg----2019/8/28 13:52:16
DMT02----Info----01:52:16--DesktopImg----2019/8/28 13:52:16
DMT02----Info----01:52:16--DesktopImg----2019/8/28 13:52:16
DMT02----Info----01:52:16--DesktopImg----2019/8/28 13:52:17
DMT02----Info----01:52:17--DesktopImg----2019/8/28 13:52:17
DMT02----Info----01:52:17--DesktopImg----2019/8/28 13:52:17
DMT02----Info----01:52:17--DesktopImg----2019/8/28 13:52:17
DMT02----Info----01:52:17--DesktopImg----2019/8/28 13:52:17
DMT02----Info----01:52:17--DesktopImg----2019/8/28 13:52:17
DMT02----Info----01:52:17--DesktopImg----2019/8/28 13:52:17
DMT02----Info----01:52:17--DesktopImg----2019/8/28 13:52:17
DMT02----Info----01:52:17--DesktopImg----2019/8/28 13:52:17
DMT02----Info----01:52:17--DesktopImg----2019/8/28 13:52:17
DMT02----Info----01:52:17--DesktopImg----2019/8/28 13:52:18
DMT02----Info----01:52:18--DesktopImg----2019/8/28 13:52:18
DMT02----Info----01:52:18--DesktopImg----2019/8/28 13:52:18
DMT02----Info----01:52:18--DesktopImg----2019/8/28 13:52:18
DMT02----Info----01:52:18--DesktopImg----2019/8/28 13:52:18
DMT02----Info----01:52:18--DesktopImg----2019/8/28 13:52:18
DMT02----Info----01:52:18--DesktopImg----2019/8/28 13:52:18
DMT02----Info----01:52:18--DesktopImg----2019/8/28 13:52:18
DMT02----Info----01:52:18--DesktopImg----2019/8/28 13:52:18
DMT02----Info----01:52:18--DesktopImg----2019/8/28 13:52:18
DMT02----Info----01:52:18--DesktopImg----2019/8/28 13:52:19
DMT02----Info----01:52:19--DesktopImg----2019/8/28 13:52:19
DMT02----Info----01:52:19--DesktopImg----2019/8/28 13:52:19
DMT02----Info----01:52:19--DesktopImg----2019/8/28 13:52:19
DMT02----Info----01:52:19--DesktopImg----2019/8/28 13:52:19
DMT02----Info----01:52:19--DesktopImg----2019/8/28 13:52:19
DMT02----Info----01:52:19--DesktopImg----2019/8/28 13:52:19
DMT02----Info----01:52:19--DesktopImg----2019/8/28 13:52:19
DMT02----Info----01:52:19--DesktopImg----2019/8/28 13:52:19
DMT02----Info----01:52:19--DesktopImg----2019/8/28 13:52:19
DMT02----Info----01:52:20--DesktopImg----2019/8/28 13:52:20
DMT02----Info----01:52:20--DesktopImg----2019/8/28 13:52:20
DMT02----Info----01:52:20--DesktopImg----2019/8/28 13:52:20
DMT02----Info----01:52:20--DesktopImg----2019/8/28 13:52:20
DMT02----Info----01:52:20--DesktopImg----2019/8/28 13:52:20
DMT02----Info----01:52:20--DesktopImg----2019/8/28 13:52:20
DMT02----Info----01:52:20--DesktopImg----2019/8/28 13:52:20
DMT02----Info----01:52:20--DesktopImg----2019/8/28 13:52:20
DMT02----Info----01:52:20--DesktopImg----2019/8/28 13:52:20
DMT02----Info----01:52:20--DesktopImg----2019/8/28 13:52:21
DMT02----Info----01:52:21--DesktopImg----2019/8/28 13:52:21
DMT02----Info----01:52:21--DesktopImg----2019/8/28 13:52:21
DMT02----Info----01:52:21--DesktopImg----2019/8/28 13:52:21
